Code,Name
2852,가정용 비전기식 조리 및 난방 기구 제조업
2890,기타 전기장비 제조업
2911,내연기관 및 터빈 제조업; 항공기용 및 차량용 제외
2912,유압 기기 제조업
2913,"펌프 및 압축기 제조업; 탭, 밸브 및 유사 장치 제조 포함"
2914,"베어링, 기어 및 동력 전달장치 제조업"
2915,"산업용 오븐, 노 및 노용 버너 제조업"
2916,"산업용 트럭, 승강기 및 물품 취급장비 제조업"
2917,"냉각, 공기 조화, 여과, 증류 및 가스 발생기 제조업"
2918,사무용 기계 및 장비 제조업
2919,기타 일반 목적용 기계 제조업
2921,농업 및 임업용 기계 제조업
2922,가공 공작기계 제조업
2923,금속 주조 및 기타 야금용 기계 제조업
2924,건설 및 광업용 기계장비 제조업
2925,음ㆍ식료품 및 담배 가공기계 제조업
2926,"섬유, 의복 및 가죽 가공기계 제조업"
2927,반도체 및 디스플레이 제조용 기계 제조업
2928,산업용 로봇 제조업
2929,기타 특수 목적용 기계 제조업
3011,자동차용 엔진 제조업
3012,자동차 제조업
3020,자동차 차체 및 트레일러 제조업
3031,자동차 엔진용 신품 부품 제조업
3032,자동차 차체용 신품 부품 제조업
3033,자동차용 신품 동력 전달장치 및 전기장치 제조업
3039,자동차용 기타 신품 부품 제조업
3040,자동차 재제조 부품 제조업
3111,선박 및 수상 부유 구조물 건조업
3112,오락 및 스포츠용 보트 건조업
3120,철도장비 제조업
3131,"항공기, 우주선 및 보조장치 제조업"
3132,항공기용 엔진 및 부품 제조업
3191,전투용 차량 제조업
3192,모터사이클 제조업
3199,그 외 기타 분류 안된 운송장비 제조업
3201,침대 및 내장 가구 제조업
3202,목재 가구 제조업
3209,기타 가구 제조업
3311,귀금속 및 관련제품 제조업
3312,모조 귀금속 및 모조 장신용품 제조업
3320,악기 제조업
3330,운동 및 경기용구 제조업
3340,"인형, 장난감 및 오락용품 제조업"
3391,간판 및 광고물 제조업
3392,사무 및 회화용품 제조업
3393,"가발, 장식용품 및 전시용 모형 제조업"
3399,그 외 기타 분류 안된 제품 제조업
3401,일반 기계류 수리업
3402,전기ㆍ전자 및 정밀 기기 수리업
3511,발전업
3512,송전 및 배전업
3513,전기 판매업
3520,연료용 가스 제조 및 배관공급업
3530,"증기, 냉ㆍ온수 및 공기 조절 공급업"
3601,생활용수 공급업
3602,산업용수 공급업
3701,하수 및 폐수 처리업
3702,분뇨 처리업
3811,"지정 외 폐기물 수집, 운반업"
3812,"지정 폐기물 수집, 운반업"
3813,"건설 폐기물 수집, 운반업"
3821,지정 외 폐기물 처리업
3822,지정 폐기물 처리업
3823,건설 폐기물 처리업
3824,"방사성 폐기물 수집, 운반 및 처리업"
3831,"금속류 해체, 선별 및 원료 재생업"
3832,"비금속류 해체, 선별 및 원료 재생업"
3900,환경 정화 및 복원업
4111,주거용 건물 건설업
4112,비주거용 건물 건설업
4121,지반조성 건설업
4122,토목 시설물 건설업
4211,건물 및 구축물 해체 공사업
4212,기반조성 관련 전문공사업
4213,시설물 축조 관련 전문공사업
4220,건물설비 설치 공사업
4231,전기 공사업
4232,통신 공사업
4241,"도장, 도배 및 내장 공사업"
4242,유리 및 창호 공사업
4249,기타 건축 마무리 공사업
4250,시설물 유지관리 공사업
4260,건설장비 운영업
4511,자동차 신품 판매업
4512,중고 자동차 판매업
4521,자동차 신품 부품 및 내장품 판매업
4522,자동차 중고 부품 및 내장품 판매업
4530,모터사이클 및 부품 판매업
4610,상품 중개업
4620,산업용 농ㆍ축산물 및 동ㆍ식물 도매업
4631,신선 식품 및 단순 가공 식품 도매업
4632,가공식품 도매업
4633,음료 및 담배 도매업
4641,"생활용 섬유제품, 의복, 의복 액세서리 및 모피제품 도매업"
4642,신발 도매업
4643,"생활용 가구, 조명기구 및 비전기식 생활용기기 도매업"
4644,"의약품, 의료용품 및 화장품 도매업"
4645,"생활용 포장ㆍ위생용품, 문구용품 및 출판 인쇄물 도매업"
4646,"음반 및 비디오물, 악기, 오락 및 경기용품 도매업"
4649,"가방, 시계, 안경 및 기타 생활용품 도매업"
4651,"컴퓨터 및 주변장치, 소프트웨어 도매업"
4652,"가전제품, 통신장비 및 부품 도매업"
4653,산업용 기계 및 장비 도매업
4659,기타 기계 및 장비 도매업
4661,일반 건축자재 도매업
4662,"냉ㆍ난방장치 및 철물, 수공구 도매업"
4669,기타 건축자재 도매업
4671,"연료, 연료용 광물 및 관련제품 도매업"
4672,1차 금속제품 및 금속광물 도매업
4673,화학 물질 및 화학제품 도매업
4674,"방직용 섬유, 실 및 직물 도매업"
4675,"종이 원지, 판지, 종이상자 도매업"
4679,재생용 재료 및 기타 상품 전문 도매업
4680,상품 종합 도매업
4711,대형 종합 소매업
4712,음ㆍ식료품 위주 종합 소매업
4713,면세점
4719,그 외 기타 종합 소매업
4721,식료품 소매업
4722,음료 및 담배 소매업
4731,"컴퓨터 및 주변장치, 소프트웨어 및 통신기기 소매업"
4732,가전제품 소매업
4741,의복 소매업
4742,"섬유, 직물 및 의복 액세서리 소매업"
4743,신발 소매업
4744,가방 및 기타 가죽제품 소매업
4751,"철물, 공구, 창호 및 건설자재 소매업"
4752,가구 소매업
4759,그 외 기타 가정용품 소매업
4761,서적 및 문구용품 소매업
4762,음반 및 비디오물 소매업
4763,운동용품 및 자전거 소매업
4764,"게임용구, 인형 및 장난감 소매업"
4771,운송장비용 연료 소매업
4772,가정용 연료 소매업
4781,"의약품, 의료용 기구, 화장품 및 방향제 소매업"
4782,"사무용 기기, 안경, 사진장비 및 정밀기기 소매업"
4783,시계 및 귀금속 소매업
4784,"예술품, 기념품 및 장식용품 소매업"
4785,그 외 기타 상품 전문 소매업
4786,중고 상품 소매업
4791,통신 판매업
4792,노점 및 유사 이동 소매업
4799,기타 무점포 소매업
4910,철도 운송업
4921,도시 정기 육상 여객 운송업
4922,시외버스 운송업
4923,부정기 육상 여객 운송업
4930,도로 화물 운송업
4940,소화물 전문 운송업
4950,파이프라인 운송업
5011,외항 운송업
5012,내항 운송업
5013,기타 해상 운송업
5020,내륙 수상 및 항만 내 운송업
5110,항공 여객 운송업
5120,항공 화물 운송업
5210,보관 및 창고업
5291,육상 운송 지원 서비스업
5292,수상 운송 지원 서비스업
5293,항공 운송 지원 서비스업
5294,화물 취급업
5299,그 외 기타 운송관련 서비스업
5510,일반 및 생활 숙박시설 운영업
5590,기타 숙박업
5611,한식 음식점업
5612,외국식 음식점업
5613,기관 구내식당업
5614,출장 및 이동 음식점업
5619,기타 간이 음식점업
5621,주점업
5622,비알코올 음료점업
5811,서적 출판업
5812,"신문, 잡지 및 정기 간행물 출판업"
5819,기타 인쇄물 출판업
5821,게임 소프트웨어 개발 및 공급업
5822,시스템ㆍ응용 소프트웨어 개발 및 공급업
5911,"영화, 비디오물 및 방송 프로그램 제작업"
5912,"영화, 비디오물 및 방송 프로그램 제작 관련 서비스업"
5913,"영화, 비디오물 및 방송 프로그램 배급업"
5914,영화 및 비디오물 상영업
5920,오디오물 출판 및 원판 녹음업
6010,라디오 방송업
6021,지상파 방송업
6022,"유선, 위성 및 기타 방송업"
6110,공영 우편업
6121,유선 통신업
6122,무선 및 위성 통신업
6129,기타 전기 통신업
6201,컴퓨터 프로그래밍 서비스업
6202,"컴퓨터 시스템 통합 자문, 구축 및 관리업"
6209,기타 정보 기술 및 컴퓨터 운영 관련 서비스업
6311,"자료 처리, 호스팅 및 관련 서비스업"
6312,포털 및 기타 인터넷 정보 매개 서비스업
6391,뉴스 제공업
6399,그 외 기타 정보 서비스업
6411,중앙은행
6412,일반은행
6413,신용조합 및 저축기관
6420,신탁업 및 집합 투자업
6491,여신 금융업
6499,그 외 기타 금융업
6511,생명보험업
6512,손해 및 보증보험업
6513,사회보장보험업
6520,재보험업
6530,연금 및 공제업
6611,금융시장 관리업
6612,증권 및 선물 중개업
6619,기타 금융 지원 서비스업
6620,보험 및 연금관련 서비스업
6811,부동산 임대업
6812,부동산 개발 및 공급업
6821,부동산 관리업
6822,"부동산 중개, 자문 및 감정 평가업"
7011,자연과학 연구개발업
7012,공학 연구개발업
7013,자연과학 및 공학 융합 연구개발업
7020,인문 및 사회과학 연구개발업
7110,법무관련 서비스업
7120,회계 및 세무관련 서비스업
7131,광고 대행업
7139,기타 광고업
7140,시장 조사 및 여론 조사업
7151,회사 본부
7153,경영 컨설팅 및 공공 관계 서비스업
7160,기타 전문 서비스업
7211,건축 및 조경 설계 서비스업
7212,엔지니어링 서비스업
7291,"기술 시험, 검사 및 분석업"
7292,"측량, 지질 조사 및 지도 제작업"
7310,수의업
7320,전문 디자인업
7330,사진 촬영 및 처리업
7390,"그 외 기타 전문, 과학 및 기술 서비스업"
7410,사업시설 유지ㆍ관리 서비스업
7421,건물 및 산업설비 청소업
7422,"소독, 구충 및 방제 서비스업"
7430,조경관리 및 유지 서비스업
7511,고용 알선업
7512,인력 공급업
7521,여행사업
7529,기타 여행 보조 및 예약 서비스업
7531,경비 및 경호 서비스업
7532,보안 시스템 서비스업
7533,탐정 및 조사 서비스업
7591,사무 지원 서비스업
7599,그 외 기타 사업 지원 서비스업
7611,자동차 임대업
7619,기타 운송장비 임대업
7621,스포츠 및 레크리에이션 용품 임대업
7622,음반 및 비디오물 임대업
7629,기타 개인 및 가정용품 임대업
7631,건설 및 토목공사용 기계ㆍ장비 임대업
7632,컴퓨터 및 사무용 기계ㆍ장비 임대업
7639,기타 산업용 기계 및 장비 임대업
7640,무형 재산권 임대업
8411,일반 공공 행정
8412,정부기관 일반 보조 행정
8421,사회서비스 관리 행정
8422,노동 및 산업 진흥 행정
8431,외무 행정
8432,국방 행정
8440,사법 및 공공 질서 행정
8450,사회보장 행정
8511,유아 교육기관
8512,초등학교
8521,일반 중등 교육기관
8522,특성화 고등학교
8530,고등 교육기관
8541,특수학교
8542,외국인학교
8543,대안학교
8550,일반 교습학원
8561,스포츠 및 레크리에이션 교육기관
8562,예술학원
8563,외국어학원 및 기타 교습학원
8564,사회교육시설
8565,직원 훈련기관
8566,기술 및 직업 훈련학원
8569,그 외 기타 교육기관
8570,교육 지원 서비스업
8610,병원
8620,의원
8630,공중 보건 의료업
8690,기타 보건업
8711,노인 거주 복지시설 운영업
8712,심신 장애인 거주 복지시설 운영업
8713,기타 거주 복지시설 운영업
8721,보육시설 운영업
8729,기타 비거주 복지 서비스업
9011,공연시설 운영업
9012,공연단체
9013,자영 예술가
9019,기타 창작 및 예술관련 서비스업
9021,"도서관, 기록 보존소 및 독서실 운영업"
9022,박물관 및 사적지 관리 운영업
9023,"식물원, 동물원 및 자연공원 운영업"
9029,기타 유사 여가관련 서비스업
9111,경기장 운영업
9112,골프장 및 스키장 운영업
9113,기타 스포츠시설 운영업
9119,기타 스포츠 서비스업
9121,유원지 및 테마파크 운영업
9122,오락장 운영업
9123,수상오락 서비스업
9124,사행시설 관리 및 운영업
9129,그 외 기타 오락관련 서비스업
9411,산업 단체
9412,전문가 단체
9420,노동조합
9491,종교 단체
9492,정치 단체
9493,시민운동 단체
9499,그 외 기타 협회 및 단체
9511,컴퓨터 및 주변 기기 수리업
9512,통신장비 수리업
9521,자동차 수리 및 세차업
9522,모터사이클 수리업
9531,가전제품 수리업
9539,기타 개인 및 가정용품 수리업
9611,이용 및 미용업
9612,"욕탕, 마사지 및 기타 신체 관리 서비스업"
9691,세탁업
9692,장례식장 및 관련 서비스업
9699,그 외 기타 분류 안된 개인 서비스업
9700,가구 내 고용활동
9810,자가 소비를 위한 가사 생산 활동
9820,자가 소비를 위한 가사 서비스 활동
9900,국제 및 외국기관
